No,Major,Avg,Total,Excellent,Good,Medium,Pass,Fail
453.0,2.0,88.43859649122807,57.0,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.0,0.0
393.0,2.0,88.3409090909091,44.0,0.5454545454545454,0.3409090909090909,0.09090909090909091,0.022727272727272728,0.0
481.0,2.0,88.3157894736842,57.0,0.5087719298245614,0.43859649122807015,0.03508771929824561,0.017543859649122806,0.0
76.0,0.0,88.29824561403508,57.0,0.45614035087719296,0.49122807017543857,0.05263157894736842,0.0,0.0
358.0,2.0,88.08771929824562,57.0,0.5087719298245614,0.40350877192982454,0.08771929824561403,0.0,0.0
395.0,2.0,88.01754385964912,57.0,0.43859649122807015,0.43859649122807015,0.10526315789473684,0.017543859649122806,0.0
232.0,0.0,87.52631578947368,57.0,0.43859649122807015,0.45614035087719296,0.10526315789473684,0.0,0.0
181.0,0.0,87.39310344827587,58.0,0.3448275862068966,0.5862068965517241,0.06896551724137931,0.0,0.0
235.0,0.0,86.94736842105263,57.0,0.2982456140350877,0.6140350877192983,0.05263157894736842,0.03508771929824561,0.0
367.0,2.0,86.85964912280701,57.0,0.45614035087719296,0.38596491228070173,0.10526315789473684,0.05263157894736842,0.0
160.0,0.0,86.77586206896552,58.0,0.41379310344827586,0.43103448275862066,0.1206896551724138,0.034482758620689655,0.0
262.0,1.0,86.67164179104478,67.0,0.3880597014925373,0.5074626865671642,0.08955223880597014,0.014925373134328358,0.0
407.0,2.0,86.63157894736842,57.0,0.543859649122807,0.22807017543859648,0.17543859649122806,0.05263157894736842,0.0
452.0,2.0,86.56896551724138,58.0,0.3275862068965517,0.5344827586206896,0.1206896551724138,0.017241379310344827,0.0
41.0,0.0,86.50877192982456,57.0,0.40350877192982454,0.40350877192982454,0.15789473684210525,0.03508771929824561,0.0
18.0,0.0,85.8258620689655,58.0,0.41379310344827586,0.3793103448275862,0.15517241379310345,0.05172413793103448,0.0
377.0,2.0,85.78947368421052,57.0,0.3508771929824561,0.47368421052631576,0.12280701754385964,0.05263157894736842,0.0
296.0,1.0,85.53968253968254,63.0,0.3333333333333333,0.49206349206349204,0.14285714285714285,0.031746031746031744,0.0
74.0,0.0,85.47368421052632,57.0,0.3508771929824561,0.40350877192982454,0.22807017543859648,0.017543859649122806,0.0
55.0,0.0,85.46896551724137,58.0,0.25862068965517243,0.5517241379310345,0.1896551724137931,0.0,0.0
299.0,1.0,85.37096774193549,62.0,0.3064516129032258,0.5967741935483871,0.06451612903225806,0.03225806451612903,0.0
419.0,2.0,85.36842105263158,57.0,0.22807017543859648,0.6140350877192983,0.14035087719298245,0.017543859649122806,0.0
304.0,1.0,85.2741935483871,62.0,0.3387096774193548,0.5645161290322581,0.03225806451612903,0.04838709677419355,0.016129032258064516
350.0,2.0,85.24561403508773,57.0,0.2982456140350877,0.5087719298245614,0.17543859649122806,0.017543859649122806,0.0
103.0,0.0,85.24137931034483,58.0,0.29310344827586204,0.5862068965517241,0.10344827586206896,0.017241379310344827,0.0
95.0,0.0,85.23793103448278,58.0,0.22413793103448276,0.5862068965517241,0.1896551724137931,0.0,0.0
264.0,1.0,85.2063492063492,63.0,0.2698412698412698,0.5714285714285714,0.15873015873015872,0.0,0.0
303.0,1.0,85.16129032258064,62.0,0.27419354838709675,0.5645161290322581,0.12903225806451613,0.03225806451612903,0.0
166.0,0.0,85.16071428571429,56.0,0.39285714285714285,0.375,0.16071428571428573,0.07142857142857142,0.0
340.0,1.0,85.0327868852459,61.0,0.3770491803278688,0.4098360655737705,0.19672131147540983,0.01639344262295082,0.0
292.0,1.0,85.01538461538462,65.0,0.24615384615384617,0.5538461538461539,0.15384615384615385,0.046153846153846156,0.0
